date,dealer_id,bays_express,bay_capacity_hours,express_lane_ros,utilization,ro_per_bay_hour
2025-07-14,D004,4,192,185,0.6278128795425328,0.9635
2025-07-21,D004,4,192,192,0.7084292594050797,1.0
2025-07-28,D004,4,192,224,0.7386715659953262,1.1667
2025-08-04,D004,4,192,151,0.646967277064352,0.7865
2025-08-11,D004,4,192,182,0.6659226607434899,0.9479
2025-08-18,D004,4,192,190,0.6740548299523162,0.9896
2025-08-25,D004,4,192,203,0.6127799961416696,1.0573
2025-09-01,D004,4,192,134,0.7142576979419021,0.6979
2025-03-10,D005,2,96,196,0.6336755304478392,2.0417
2025-03-17,D005,2,96,212,0.7418240083068545,2.2083
2025-03-24,D005,2,96,181,0.7438193161997014,1.8854
2025-03-31,D005,2,96,198,0.6446694222803228,2.0625
2025-04-07,D005,2,96,149,0.6781410984574069,1.5521
2025-04-14,D005,2,96,174,0.728130875927677,1.8125
2025-04-21,D005,2,96,176,0.6491933683071094,1.8333
2025-04-28,D005,2,96,189,0.7117697561932046,1.9688
2025-05-05,D005,2,96,158,0.7270886521041907,1.6458
2025-05-12,D005,2,96,185,0.638452120078031,1.9271
2025-05-19,D005,2,96,163,0.7011335808752819,1.6979
2025-05-26,D005,2,96,161,0.6267131740268844,1.6771
2025-06-02,D005,2,96,213,0.6516628447594264,2.2188
2025-06-09,D005,2,96,135,0.6524220559974848,1.4062
2025-06-16,D005,2,96,197,0.6830076469026324,2.0521
2025-06-23,D005,2,96,193,0.686967818480796,2.0104
2025-06-30,D005,2,96,184,0.6754800938662915,1.9167
2025-07-07,D005,2,96,198,0.6618326510756031,2.0625
2025-07-14,D005,2,96,195,0.6564047001939199,2.0312
2025-07-21,D005,2,96,171,0.7499175640396154,1.7812
2025-07-28,D005,2,96,175,0.6273500819854965,1.8229
2025-08-04,D005,2,96,149,0.7434594939319922,1.5521
2025-08-11,D005,2,96,201,0.6224333370529775,2.0938
2025-08-18,D005,2,96,179,0.7519878066106758,1.8646
2025-08-25,D005,2,96,195,0.658783510140834,2.0312
2025-09-01,D005,2,96,182,0.7384714549185931,1.8958
2025-03-10,D006,2,96,165,0.7023334265784414,1.7188
2025-03-17,D006,2,96,137,0.6995734051566423,1.4271
2025-03-24,D006,2,96,170,0.786346385178035,1.7708
2025-03-31,D006,2,96,179,0.7633589634721247,1.8646
2025-04-07,D006,2,96,170,0.7744627181990745,1.7708
2025-04-14,D006,2,96,141,0.6737515215299588,1.4688
2025-04-21,D006,2,96,149,0.6766105223437484,1.5521
2025-04-28,D006,2,96,213,0.616223146484739,2.2188
2025-05-05,D006,2,96,171,0.6400410728087156,1.7812
2025-05-12,D006,2,96,187,0.85,1.9479
2025-05-19,D006,2,96,163,0.7662148558852605,1.6979
2025-05-26,D006,2,96,153,0.7187763164745581,1.5938
2025-06-02,D006,2,96,184,0.6772120544322578,1.9167
2025-06-09,D006,2,96,190,0.6508154299721861,1.9792
2025-06-16,D006,2,96,173,0.735637596489377,1.8021
2025-06-23,D006,2,96,173,0.6690144830384273,1.8021
2025-06-30,D006,2,96,221,0.6418192153241157,2.3021
2025-07-07,D006,2,96,145,0.6754428153189441,1.5104
2025-07-14,D006,2,96,193,0.7144683536888686,2.0104
2025-07-21,D006,2,96,193,0.6399541999084766,2.0104
2025-07-28,D006,2,96,193,0.7727027646312454,2.0104
2025-08-04,D006,2,96,220,0.7228146706160482,2.2917
2025-08-11,D006,2,96,168,0.7080745953639467,1.75
2025-08-18,D006,2,96,174,0.7224613827917745,1.8125
2025-08-25,D006,2,96,185,0.6761017534704888,1.9271
2025-09-01,D006,2,96,166,0.7119624219458077,1.7292
2025-03-10,D007,4,192,150,0.682249977709143,0.7812
2025-03-17,D007,4,192,126,0.6173531563330565,0.6562
2025-03-24,D007,4,192,137,0.5733846945366846,0.7135
2025-03-31,D007,4,192,125,0.5892735530509902,0.651
2025-04-07,D007,4,192,110,0.6008578423786147,0.5729
2025-04-14,D007,4,192,164,0.6219609262152027,0.8542
2025-04-21,D007,4,192,144,0.612224226355103,0.75
2025-04-28,D007,4,192,142,0.6018912470769942,0.7396
2025-05-05,D007,4,192,153,0.675354869877719,0.7969
2025-05-12,D007,4,192,157,0.6486326216402852,0.8177
2025-05-19,D007,4,192,160,0.6566713204732703,0.8333
2025-05-26,D007,4,192,139,0.6422953634335169,0.724
2025-06-02,D007,4,192,129,0.623830784053443,0.6719
2025-06-09,D007,4,192,160,0.6267693217483699,0.8333
2025-06-16,D007,4,192,130,0.6643903119963792,0.6771
2025-06-23,D007,4,192,134,0.5554595576272208,0.6979
2025-06-30,D007,4,192,155,0.6016526981182289,0.8073
2025-07-07,D007,4,192,124,0.5687286611537679,0.6458
2025-07-14,D007,4,192,134,0.5498393739997942,0.6979
2025-07-21,D007,4,192,146,0.7137018980619111,0.7604
2025-07-28,D007,4,192,138,0.5952283590243498,0.7188
2025-08-04,D007,4,192,129,0.6448778861360681,0.6719
2025-08-11,D007,4,192,142,0.5661206162479296,0.7396
2025-08-18,D007,4,192,142,0.5301154038859989,0.7396
2025-08-25,D007,4,192,150,0.6132809640886351,0.7812
2025-09-01,D007,4,192,143,0.6810018554632351,0.7448
2025-03-10,D008,2,96,142,0.574743865124526,1.4792
2025-03-17,D008,2,96,137,0.6808157138861806,1.4271
2025-03-24,D008,2,96,157,0.625379034449308,1.6354
2025-03-31,D008,2,96,166,0.6255621159591153,1.7292
2025-04-07,D008,2,96,133,0.583534297372713,1.3854
2025-04-14,D008,2,96,149,0.6102339042584071,1.5521
2025-04-21,D008,2,96,107,0.5638105148030086,1.1146
2025-04-28,D008,2,96,136,0.5538596788130947,1.4167
2025-05-05,D008,2,96,134,0.5508323473258874,1.3958
2025-05-12,D008,2,96,153,0.6530265774470221,1.5938
2025-05-19,D008,2,96,134,0.556716106397725,1.3958
2025-05-26,D008,2,96,123,0.5535457722498587,1.2812
2025-06-02,D008,2,96,152,0.6671583682027838,1.5833
2025-06-09,D008,2,96,120,0.5679970841239573,1.25
2025-06-16,D008,2,96,138,0.6393652297630497,1.4375
2025-06-23,D008,2,96,156,0.581474145323838,1.625
2025-06-30,D008,2,96,148,0.6838198264014836,1.5417
2025-07-07,D008,2,96,117,0.6314524443186056,1.2188
2025-07-14,D008,2,96,159,0.5870643964940131,1.6562
2025-07-21,D008,2,96,129,0.568210320822917,1.3438
2025-07-28,D008,2,96,144,0.552544591254359,1.5
2025-08-04,D008,2,96,148,0.6627130764190924,1.5417
2025-08-11,D008,2,96,142,0.5740676363646019,1.4792
2025-08-18,D008,2,96,151,0.6147644249385291,1.5729
2025-08-25,D008,2,96,176,0.5955385487946115,1.8333
2025-09-01,D008,2,96,126,0.7280280502704274,1.3125
2025-03-10,D009,4,192,88,0.4649364901890766,0.4583
2025-03-17,D009,4,192,79,0.4933562484322148,0.4115
2025-03-24,D009,4,192,93,0.456079621162995,0.4844
2025-03-31,D009,4,192,85,0.41295752295276755,0.4427
2025-04-07,D009,4,192,79,0.41127768674723125,0.4115
2025-04-14,D009,4,192,98,0.4687923590648209,0.5104
2025-04-21,D009,4,192,92,0.45267998040666996,0.4792
2025-04-28,D009,4,192,94,0.47214431891944986,0.4896
2025-05-05,D009,4,192,95,0.43691330617262547,0.4948
2025-05-12,D009,4,192,100,0.4303010378955582,0.5208
2025-05-19,D009,4,192,95,0.3863623186494497,0.4948
2025-05-26,D009,4,192,100,0.41308857478094935,0.5208
2025-06-02,D009,4,192,108,0.41823520238273754,0.5625
2025-06-09,D009,4,192,110,0.4301743586320001,0.5729
2025-06-16,D009,4,192,82,0.44296569184429335,0.4271
2025-06-23,D009,4,192,84,0.4446014113904269,0.4375
2025-06-30,D009,4,192,74,0.39083694768193533,0.3854
2025-07-07,D009,4,192,97,0.450687779775717,0.5052
2025-07-14,D009,4,192,70,0.457954201728029,0.3646
2025-07-21,D009,4,192,66,0.5520287070692025,0.3438
2025-07-28,D009,4,192,84,0.43132978054602766,0.4375
2025-08-04,D009,4,192,94,0.46364399347345664,0.4896
2025-08-11,D009,4,192,72,0.47768721654287744,0.375
2025-08-18,D009,4,192,105,0.45020810917538984,0.5469
2025-08-25,D009,4,192,108,0.4964693827133614,0.5625
2025-09-01,D009,4,192,76,0.4247254924684146,0.3958
2025-03-10,D010,5,240,147,0.58804965282428,0.6125
2025-03-17,D010,5,240,144,0.6242358104040845,0.6
2025-03-24,D010,5,240,121,0.5894286206446023,0.5042
2025-03-31,D010,5,240,142,0.6070345171344095,0.5917
2025-04-07,D010,5,240,154,0.6608715920211761,0.6417
2025-04-14,D010,5,240,147,0.5851229915134806,0.6125
2025-04-21,D010,5,240,115,0.6524069379143075,0.4792
2025-04-28,D010,5,240,164,0.5443146264549267,0.6833
2025-05-05,D010,5,240,146,0.6108696434584533,0.6083
2025-05-12,D010,5,240,163,0.564562629082506,0.6792
2025-05-19,D010,5,240,141,0.6292564389256615,0.5875
2025-05-26,D010,5,240,157,0.5787320955487862,0.6542
2025-06-02,D010,5,240,142,0.6146030174972216,0.5917
2025-06-09,D010,5,240,124,0.5885843134408872,0.5167
2025-06-16,D010,5,240,132,0.6262843013789577,0.55
2025-06-23,D010,5,240,153,0.5839008193573851,0.6375
2025-06-30,D010,5,240,160,0.7095811418822544,0.6667
2025-07-07,D010,5,240,156,0.6195583573232715,0.65
2025-07-14,D010,5,240,148,0.6033358631854402,0.6167
2025-07-21,D010,5,240,141,0.578183844078628,0.5875
2025-07-28,D010,5,240,127,0.6720924493844223,0.5292
2025-08-04,D010,5,240,143,0.5767527934341032,0.5958
2025-08-11,D010,5,240,109,0.6482665287601483,0.4542
2025-08-18,D010,5,240,143,0.6208887019965249,0.5958
2025-08-25,D010,5,240,136,0.5541263487524077,0.5667
2025-09-01,D010,5,240,120,0.6210637040829962,0.5
2025-03-10,D011,2,96,93,0.497587128557017,0.9688
2025-03-17,D011,2,96,82,0.4527717526628772,0.8542
2025-03-24,D011,2,96,76,0.5238034202999085,0.7917
2025-03-31,D011,2,96,86,0.4763000924145773,0.8958
2025-04-07,D011,2,96,78,0.38351689868040306,0.8125
2025-04-14,D011,2,96,84,0.4155989229956112,0.875
2025-04-21,D011,2,96,84,0.406139350585433,0.875
2025-04-28,D011,2,96,91,0.38296787112092934,0.9479
2025-05-05,D011,2,96,98,0.523131405704782,1.0208
2025-05-12,D011,2,96,90,0.5076836790313088,0.9375
2025-05-19,D011,2,96,77,0.37428568272006857,0.8021
2025-05-26,D011,2,96,84,0.4877482093849943,0.875
2025-06-02,D011,2,96,68,0.3513582444548746,0.7083
2025-06-09,D011,2,96,89,0.4992297979278218,0.9271
2025-06-16,D011,2,96,74,0.4880616100420988,0.7708
2025-06-23,D011,2,96,82,0.5194166464822713,0.8542
2025-06-30,D011,2,96,85,0.42921350634278044,0.8854
2025-07-07,D011,2,96,93,0.44626343265885016,0.9688
2025-07-14,D011,2,96,73,0.49181482852473685,0.7604
2025-07-21,D011,2,96,87,0.4010606252622442,0.9062
2025-07-28,D011,2,96,87,0.4955659303002421,0.9062
2025-08-04,D011,2,96,99,0.4667447952161447,1.0312
2025-08-11,D011,2,96,92,0.5320866750587246,0.9583
2025-08-18,D011,2,96,95,0.39279531724308625,0.9896
2025-08-25,D011,2,96,86,0.5355480335227989,0.8958
2025-09-01,D011,2,96,102,0.4614513756587787,1.0625
2025-03-10,D012,3,144,165,0.7593919217924654,1.1458
2025-03-17,D012,3,144,175,0.6764881837276209,1.2153
2025-03-24,D012,3,144,194,0.6664199409012552,1.3472
2025-03-31,D012,3,144,160,0.6484457265931818,1.1111
2025-04-07,D012,3,144,185,0.6781312451973749,1.2847
2025-04-14,D012,3,144,177,0.5965497049276317,1.2292
2025-04-21,D012,3,144,170,0.5951207763933591,1.1806
2025-04-28,D012,3,144,196,0.7008166210486519,1.3611
2025-05-05,D012,3,144,231,0.6521116966768928,1.6042
2025-05-12,D012,3,144,177,0.7610766912358767,1.2292
2025-05-19,D012,3,144,151,0.6434757031820642,1.0486
2025-05-26,D012,3,144,143,0.7698534774189664,0.9931
2025-06-02,D012,3,144,185,0.664334115738149,1.2847
2025-06-09,D012,3,144,186,0.6250233377824157,1.2917
2025-06-16,D012,3,144,194,0.7539049938726733,1.3472
2025-06-23,D012,3,144,169,0.7287992938658794,1.1736
2025-06-30,D012,3,144,179,0.7347662125705599,1.2431
2025-07-07,D012,3,144,180,0.6647380339744984,1.25
2025-07-14,D012,3,144,181,0.7124324620115856,1.2569
2025-07-21,D012,3,144,175,0.6466972256709478,1.2153
2025-07-28,D012,3,144,166,0.7013707963834144,1.1528
2025-08-04,D012,3,144,150,0.6754392443249584,1.0417
2025-08-11,D012,3,144,177,0.7407965517906785,1.2292
2025-08-18,D012,3,144,132,0.724720266757858,0.9167
2025-08-25,D012,3,144,204,0.6316963286646835,1.4167
2025-09-01,D012,3,144,183,0.7580704522636335,1.2708
2025-03-10,D013,4,192,123,0.6592562836013538,0.6406
2025-03-17,D013,4,192,137,0.5833637592726044,0.7135
2025-03-24,D013,4,192,113,0.6394359024046458,0.5885
2025-03-31,D013,4,192,159,0.6648171123473269,0.8281
2025-04-07,D013,4,192,163,0.7250262944904333,0.849
2025-04-14,D013,4,192,144,0.640342195163156,0.75
2025-04-21,D013,4,192,136,0.5857037136642367,0.7083
2025-04-28,D013,4,192,124,0.5896471472639085,0.6458
2025-05-05,D013,4,192,150,0.5619473188378468,0.7812
2025-05-12,D013,4,192,144,0.642731511993653,0.75
2025-05-19,D013,4,192,160,0.6676820597153157,0.8333
2025-05-26,D013,4,192,129,0.5992908884629458,0.6719
2025-06-02,D013,4,192,138,0.6008614219423377,0.7188
2025-06-09,D013,4,192,136,0.6110664519446524,0.7083
2025-06-16,D013,4,192,164,0.6251554408927219,0.8542
2025-06-23,D013,4,192,142,0.7445760009993939,0.7396
2025-06-30,D013,4,192,117,0.6351651939364812,0.6094
2025-07-07,D013,4,192,94,0.5968757289389128,0.4896
2025-07-14,D013,4,192,157,0.5161310331753016,0.8177
2025-07-21,D013,4,192,158,0.6268053186934031,0.8229
2025-07-28,D013,4,192,131,0.550731896229293,0.6823
2025-08-04,D013,4,192,125,0.59645865472875,0.651
2025-08-11,D013,4,192,127,0.743340603395792,0.6615
2025-08-18,D013,4,192,151,0.6837157525485357,0.7865
2025-08-25,D013,4,192,123,0.6185891939117948,0.6406
2025-09-01,D013,4,192,135,0.6084687183216141,0.7031
2025-03-10,D014,5,240,64,0.4670621619853089,0.2667
2025-03-17,D014,5,240,83,0.3191689998931439,0.3458
2025-03-24,D014,5,240,91,0.4097883403623265,0.3792
2025-03-31,D014,5,240,92,0.4219844010076524,0.3833
2025-04-07,D014,5,240,88,0.3924327918335108,0.3667
2025-04-14,D014,5,240,86,0.5037157820729328,0.3583
2025-04-21,D014,5,240,74,0.3330231564751327,0.3083
2025-04-28,D014,5,240,76,0.4354557759154802,0.3167
2025-05-05,D014,5,240,77,0.47376157407850816,0.3208
2025-05-12,D014,5,240,76,0.379089349151005,0.3167
2025-05-19,D014,5,240,84,0.4352918264169163,0.35
2025-05-26,D014,5,240,80,0.3422532427999648,0.3333
2025-06-02,D014,5,240,96,0.3509185688641156,0.4
2025-06-09,D014,5,240,74,0.3820365922219228,0.3083
2025-06-16,D014,5,240,73,0.38399746619435515,0.3042
2025-06-23,D014,5,240,84,0.40493900471592387,0.35
2025-06-30,D014,5,240,74,0.36883228059659656,0.3083
2025-07-07,D014,5,240,85,0.4169879721757453,0.3542
2025-07-14,D014,5,240,89,0.34871043153225834,0.3708
2025-07-21,D014,5,240,75,0.396200714820144,0.3125
2025-07-28,D014,5,240,78,0.3694383788328447,0.325
2025-08-04,D014,5,240,74,0.3807728290348307,0.3083
2025-08-11,D014,5,240,78,0.42853698942118257,0.325
2025-08-18,D014,5,240,91,0.3112124830645332,0.3792
2025-08-25,D014,5,240,69,0.4249250481214301,0.2875
2025-09-01,D014,5,240,67,0.3489394639418498,0.2792
2025-03-10,D015,3,144,157,0.7236238377989772,1.0903
2025-03-17,D015,3,144,174,0.7361847884011026,1.2083
2025-03-24,D015,3,144,163,0.7945829727553058,1.1319
2025-03-31,D015,3,144,195,0.7156772958139936,1.3542
2025-04-07,D015,3,144,157,0.6767383536183981,1.0903
2025-04-14,D015,3,144,192,0.6323078903965833,1.3333
2025-04-21,D015,3,144,174,0.7253657618501759,1.2083
2025-04-28,D015,3,144,146,0.6806348430420539,1.0139
2025-05-05,D015,3,144,172,0.762074695657601,1.1944
2025-05-12,D015,3,144,152,0.7136021097942024,1.0556
2025-05-19,D015,3,144,194,0.7171292815800704,1.3472
2025-05-26,D015,3,144,195,0.7529009804866543,1.3542
2025-06-02,D015,3,144,198,0.6751821569062905,1.375
2025-06-09,D015,3,144,151,0.7523238544056949,1.0486
2025-06-16,D015,3,144,203,0.7678862181582506,1.4097
2025-06-23,D015,3,144,183,0.7733801004418701,1.2708
2025-06-30,D015,3,144,173,0.6593676062994012,1.2014
2025-07-07,D015,3,144,195,0.7047919649633024,1.3542
2025-07-14,D015,3,144,186,0.729009100576034,1.2917
2025-07-21,D015,3,144,171,0.713934688852455,1.1875
2025-07-28,D015,3,144,185,0.6878561580854627,1.2847
2025-08-04,D015,3,144,176,0.7453560026680941,1.2222
2025-08-11,D015,3,144,179,0.7254245010961421,1.2431
2025-08-18,D015,3,144,132,0.7147759789646595,0.9167
2025-08-25,D015,3,144,195,0.6533933936718799,1.3542
2025-09-01,D015,3,144,164,0.6997075268723856,1.1389
2025-03-10,D016,2,96,83,0.35686549762928493,0.8646
2025-03-17,D016,2,96,72,0.40977086957005904,0.75
2025-03-24,D016,2,96,84,0.3347912146684954,0.875
2025-03-31,D016,2,96,74,0.3990326157229016,0.7708
2025-04-07,D016,2,96,60,0.44569445560293675,0.625
2025-04-14,D016,2,96,82,0.35474277841088664,0.8542
2025-04-21,D016,2,96,75,0.4074327184072455,0.7812
2025-04-28,D016,2,96,99,0.32455160029537544,1.0312
2025-05-05,D016,2,96,71,0.3708906562767537,0.7396
2025-05-12,D016,2,96,86,0.29411335825717316,0.8958
2025-05-19,D016,2,96,84,0.40257242280295824,0.875
2025-05-26,D016,2,96,90,0.4490927818697849,0.9375
2025-06-02,D016,2,96,66,0.3896577318423338,0.6875
2025-06-09,D016,2,96,72,0.4024879578181852,0.75
2025-06-16,D016,2,96,85,0.4661891187372684,0.8854
2025-06-23,D016,2,96,100,0.41030507665995153,1.0417
2025-06-30,D016,2,96,76,0.3591681003907191,0.7917
2025-07-07,D016,2,96,92,0.3149254374398735,0.9583
2025-07-14,D016,2,96,80,0.40465862751627557,0.8333
2025-07-21,D016,2,96,74,0.3158229431500149,0.7708
2025-07-28,D016,2,96,79,0.37772818161929195,0.8229
2025-08-04,D016,2,96,74,0.4564997872724513,0.7708
2025-08-11,D016,2,96,101,0.39120663849848764,1.0521
2025-08-18,D016,2,96,85,0.41154908528486206,0.8854
2025-08-25,D016,2,96,89,0.4352245434318278,0.9271
2025-09-01,D016,2,96,94,0.40130758949632594,0.9792
2025-03-10,D017,3,144,80,0.44491060295219764,0.5556
2025-03-17,D017,3,144,90,0.29228942064414554,0.625
2025-03-24,D017,3,144,102,0.47117229345633116,0.7083
2025-03-31,D017,3,144,57,0.47348378142316555,0.3958
2025-04-07,D017,3,144,73,0.4000556382577621,0.5069
2025-04-14,D017,3,144,86,0.4616682909066601,0.5972
2025-04-21,D017,3,144,69,0.3604431730126348,0.4792
2025-04-28,D017,3,144,72,0.37976266453413526,0.5
2025-05-05,D017,3,144,91,0.38673197375393414,0.6319
2025-05-12,D017,3,144,69,0.45666719730156624,0.4792
2025-05-19,D017,3,144,105,0.42062064296719687,0.7292
2025-05-26,D017,3,144,85,0.4056824967134011,0.5903
2025-06-02,D017,3,144,81,0.42212143500406124,0.5625
2025-06-09,D017,3,144,85,0.3336121724968746,0.5903
2025-06-16,D017,3,144,80,0.3872539486793743,0.5556
2025-06-23,D017,3,144,84,0.4054066111792429,0.5833
2025-06-30,D017,3,144,75,0.36035053720317667,0.5208
2025-07-07,D017,3,144,62,0.4373289706904948,0.4306
2025-07-14,D017,3,144,82,0.4960046322374873,0.5694
2025-07-21,D017,3,144,85,0.5173704115734767,0.5903
2025-07-28,D017,3,144,81,0.3199529245327952,0.5625
2025-08-04,D017,3,144,74,0.33561274184015744,0.5139
2025-08-11,D017,3,144,81,0.44082420678439943,0.5625
2025-08-18,D017,3,144,73,0.42266463616386696,0.5069
2025-08-25,D017,3,144,67,0.32229935302755264,0.4653
2025-09-01,D017,3,144,76,0.5180522968790352,0.5278
2025-03-10,D018,3,144,181,0.6001816342766083,1.2569
2025-03-17,D018,3,144,202,0.7337001818034307,1.4028
2025-03-24,D018,3,144,176,0.7052831688484843,1.2222
2025-03-31,D018,3,144,194,0.7781079128163259,1.3472
2025-04-07,D018,3,144,167,0.6961789536562357,1.1597
2025-04-14,D018,3,144,192,0.697012481215151,1.3333
2025-04-21,D018,3,144,168,0.6473298278370729,1.1667
2025-04-28,D018,3,144,177,0.7111942213176536,1.2292
2025-05-05,D018,3,144,179,0.6674626750132477,1.2431
2025-05-12,D018,3,144,188,0.7079594039959168,1.3056
2025-05-19,D018,3,144,170,0.8059969439813061,1.1806
2025-05-26,D018,3,144,197,0.6878785138350727,1.3681
2025-06-02,D018,3,144,223,0.7222038108697747,1.5486
2025-06-09,D018,3,144,181,0.6771531671713528,1.2569
2025-06-16,D018,3,144,175,0.6478474053898544,1.2153
2025-06-23,D018,3,144,204,0.6836700379115637,1.4167
2025-06-30,D018,3,144,189,0.75804838668943,1.3125
2025-07-07,D018,3,144,201,0.6739048339204398,1.3958
2025-07-14,D018,3,144,220,0.6144396602173022,1.5278
2025-07-21,D018,3,144,210,0.7233464741968136,1.4583
2025-07-28,D018,3,144,191,0.7432814249823845,1.3264
2025-08-04,D018,3,144,206,0.7429150768476972,1.4306
2025-08-11,D018,3,144,181,0.7505393575039542,1.2569
2025-08-18,D018,3,144,177,0.7212269312980589,1.2292
