date,dealer_id,parts_loyalty,auto_replenishment,maintenance_penetration,bulk_oil_penetration,express_lane_ros,service_lane_utilization,time_in_bay_maint_min,time_in_bay_adv_min,total_wait_min,retention_rate,compliance_score
2025-04-14,D003,0.552,0.489,0.341,0.485,126,0.629,35.5,64.4,75.8,0.538,0.773
2025-04-21,D003,0.558,0.476,0.302,0.484,110,0.627,36.0,74.0,77.1,0.573,0.681
2025-04-28,D003,0.578,0.486,0.424,0.412,125,0.525,35.3,73.4,72.5,0.559,0.63
2025-05-05,D003,0.547,0.473,0.302,0.395,110,0.667,31.7,71.5,81.9,0.635,0.741
2025-05-12,D003,0.539,0.427,0.31,0.437,125,0.592,39.2,72.0,78.9,0.557,0.659
2025-05-19,D003,0.489,0.514,0.333,0.4,149,0.566,32.2,74.9,79.6,0.53,0.682
2025-05-26,D003,0.502,0.526,0.381,0.531,111,0.608,35.5,76.1,85.8,0.577,0.754
2025-06-02,D003,0.547,0.474,0.414,0.353,119,0.618,29.9,65.9,76.6,0.591,0.697
2025-06-09,D003,0.513,0.519,0.401,0.46,159,0.552,31.6,74.5,79.4,0.526,0.807
2025-06-16,D003,0.603,0.48,0.38,0.527,160,0.669,38.1,60.0,76.6,0.496,0.69
2025-06-23,D003,0.524,0.488,0.311,0.414,130,0.583,27.0,66.0,79.0,0.584,0.721
2025-06-30,D003,0.552,0.603,0.317,0.491,145,0.67,35.1,76.0,89.3,0.587,0.671
2025-07-07,D003,0.553,0.535,0.326,0.474,167,0.625,29.0,73.6,80.2,0.572,0.707
2025-07-14,D003,0.571,0.53,0.384,0.414,143,0.625,37.6,69.0,83.5,0.565,0.78
2025-07-21,D003,0.581,0.501,0.441,0.449,142,0.629,29.5,76.6,85.9,0.529,0.769
2025-07-28,D003,0.519,0.452,0.307,0.49,100,0.613,36.6,82.7,83.5,0.526,0.746
2025-08-04,D003,0.482,0.426,0.306,0.54,171,0.603,34.4,77.7,74.1,0.537,0.801
2025-08-11,D003,0.626,0.613,0.305,0.454,144,0.574,30.3,66.6,79.9,0.56,0.733
2025-08-18,D003,0.53,0.486,0.421,0.386,135,0.577,33.7,69.8,80.9,0.531,0.679
2025-08-25,D003,0.544,0.487,0.286,0.408,108,0.69,28.5,72.4,87.6,0.607,0.728
2025-09-01,D003,0.622,0.559,0.366,0.434,151,0.62,31.1,73.9,88.2,0.504,0.842
2025-03-10,D004,0.616,0.567,0.451,0.587,202,0.734,33.1,66.4,69.3,0.652,0.766
2025-03-17,D004,0.583,0.623,0.438,0.596,144,0.754,30.7,65.6,73.0,0.624,0.895
2025-03-24,D004,0.579,0.646,0.392,0.593,175,0.756,27.1,66.5,73.0,0.666,0.895
2025-03-31,D004,0.568,0.668,0.454,0.585,173,0.655,32.6,65.6,68.4,0.67,0.813
2025-04-07,D004,0.605,0.625,0.459,0.622,226,0.703,26.8,69.8,74.6,0.66,0.867
2025-04-14,D004,0.651,0.564,0.46,0.641,139,0.639,30.1,62.6,67.1,0.66,0.879
2025-04-21,D004,0.639,0.654,0.431,0.682,167,0.703,28.5,67.3,72.1,0.65,0.777
2025-04-28,D004,0.622,0.72,0.422,0.558,182,0.671,32.4,71.6,70.1,0.634,0.754
2025-05-05,D004,0.619,0.672,0.442,0.585,178,0.7,29.5,64.5,80.8,0.691,0.809
2025-05-12,D004,0.708,0.65,0.396,0.581,220,0.654,30.6,71.5,62.7,0.644,0.866
2025-05-19,D004,0.728,0.632,0.438,0.632,146,0.651,29.4,64.6,65.5,0.688,0.795
2025-05-26,D004,0.625,0.585,0.488,0.648,184,0.686,30.8,64.8,77.0,0.611,0.823
2025-06-02,D004,0.741,0.723,0.453,0.531,194,0.648,30.1,72.5,72.7,0.651,0.86
2025-06-09,D004,0.642,0.639,0.437,0.519,175,0.611,32.4,65.2,63.3,0.653,0.845
2025-06-16,D004,0.679,0.66,0.472,0.653,169,0.711,28.7,68.9,80.4,0.623,0.832
2025-06-23,D004,0.616,0.596,0.454,0.544,164,0.706,31.3,69.0,77.5,0.636,0.891
2025-06-30,D004,0.602,0.695,0.505,0.571,195,0.749,31.3,71.9,73.6,0.617,0.826
2025-07-07,D004,0.7,0.623,0.441,0.6,181,0.731,29.7,68.8,69.9,0.635,0.754
2025-07-14,D004,0.595,0.603,0.445,0.634,185,0.628,33.2,69.7,72.6,0.62,0.79
2025-07-21,D004,0.586,0.713,0.466,0.698,192,0.708,33.7,71.7,68.8,0.637,0.868
2025-07-28,D004,0.623,0.587,0.398,0.64,224,0.739,36.5,74.9,71.5,0.692,0.832
2025-08-04,D004,0.675,0.649,0.434,0.507,151,0.647,28.7,65.5,66.0,0.657,0.879
2025-08-11,D004,0.619,0.623,0.501,0.546,182,0.666,29.8,68.9,71.2,0.641,0.845
2025-08-18,D004,0.67,0.738,0.409,0.589,190,0.674,32.8,70.1,78.7,0.579,0.768
2025-08-25,D004,0.706,0.708,0.428,0.588,203,0.613,25.9,71.1,75.7,0.588,0.782
2025-09-01,D004,0.615,0.683,0.429,0.56,134,0.714,31.3,62.1,73.8,0.656,0.786
2025-03-10,D005,0.655,0.671,0.448,0.664,196,0.634,28.6,62.3,70.8,0.633,0.75
2025-03-17,D005,0.651,0.606,0.407,0.646,212,0.742,27.1,77.2,61.1,0.671,0.83
2025-03-24,D005,0.656,0.759,0.455,0.59,181,0.744,29.8,65.7,82.0,0.673,0.835
2025-03-31,D005,0.61,0.589,0.449,0.574,198,0.645,31.2,69.9,71.0,0.664,0.785
2025-04-07,D005,0.663,0.723,0.469,0.695,149,0.678,27.5,64.7,73.1,0.661,0.791
2025-04-14,D005,0.624,0.694,0.464,0.613,174,0.728,29.3,61.4,74.2,0.651,0.781
2025-04-21,D005,0.71,0.629,0.52,0.649,176,0.649,34.5,59.4,73.9,0.665,0.828
2025-04-28,D005,0.647,0.65,0.351,0.621,189,0.712,31.9,65.6,70.6,0.617,0.83
2025-05-05,D005,0.675,0.571,0.44,0.64,158,0.727,35.9,76.6,66.9,0.649,0.751
2025-05-12,D005,0.652,0.7,0.437,0.561,185,0.638,32.4,69.4,79.4,0.581,0.821
2025-05-19,D005,0.632,0.609,0.472,0.663,163,0.701,33.1,73.5,75.2,0.652,0.812
2025-05-26,D005,0.605,0.648,0.488,0.538,161,0.627,32.6,70.1,73.1,0.638,0.83
2025-06-02,D005,0.661,0.65,0.426,0.566,213,0.652,35.9,71.8,79.6,0.627,0.784
2025-06-09,D005,0.622,0.655,0.444,0.695,135,0.652,30.2,65.3,71.5,0.663,0.825
2025-06-16,D005,0.63,0.708,0.414,0.503,197,0.683,27.7,62.7,71.4,0.633,0.807
2025-06-23,D005,0.592,0.722,0.488,0.612,193,0.687,30.3,63.6,72.2,0.628,0.831
2025-06-30,D005,0.734,0.59,0.406,0.544,184,0.675,32.4,64.0,78.3,0.599,0.791
2025-07-07,D005,0.657,0.589,0.475,0.603,198,0.662,24.2,68.1,73.4,0.626,0.775
2025-07-14,D005,0.672,0.67,0.491,0.699,195,0.656,29.7,70.4,71.7,0.656,0.764
2025-07-21,D005,0.596,0.635,0.432,0.518,171,0.75,26.0,68.7,72.1,0.638,0.97
2025-07-28,D005,0.639,0.638,0.425,0.649,175,0.627,23.9,64.3,66.7,0.64,0.837
2025-08-04,D005,0.664,0.7,0.427,0.602,149,0.743,28.9,77.8,84.8,0.626,0.822
2025-08-11,D005,0.672,0.624,0.426,0.545,201,0.622,32.9,69.9,75.3,0.617,0.828
2025-08-18,D005,0.673,0.729,0.425,0.563,179,0.752,27.9,63.7,67.9,0.684,0.789
2025-08-25,D005,0.559,0.683,0.451,0.622,195,0.659,30.9,74.7,75.3,0.613,0.766
2025-09-01,D005,0.634,0.619,0.495,0.548,182,0.738,27.4,67.7,75.9,0.622,0.757
2025-03-10,D006,0.63,0.606,0.525,0.536,165,0.702,29.1,68.4,72.4,0.66,0.889
2025-03-17,D006,0.649,0.635,0.503,0.546,137,0.7,32.0,62.2,73.0,0.606,0.762
2025-03-24,D006,0.647,0.702,0.417,0.608,170,0.786,31.8,71.3,74.2,0.654,0.812
2025-03-31,D006,0.715,0.668,0.468,0.567,179,0.763,29.2,65.5,71.8,0.645,0.81
2025-04-07,D006,0.585,0.63,0.454,0.609,170,0.774,29.6,64.7,73.7,0.612,0.841
2025-04-14,D006,0.648,0.629,0.527,0.699,141,0.674,27.0,67.0,73.5,0.639,0.811
2025-04-21,D006,0.657,0.595,0.454,0.674,149,0.677,25.7,61.5,66.8,0.593,0.813
2025-04-28,D006,0.622,0.703,0.389,0.613,213,0.616,32.0,66.8,68.1,0.648,0.724
2025-05-05,D006,0.636,0.627,0.37,0.617,171,0.64,25.1,68.6,67.7,0.598,0.82
2025-05-12,D006,0.673,0.652,0.506,0.572,187,0.85,32.3,77.6,83.7,0.606,0.835
2025-05-19,D006,0.608,0.622,0.479,0.557,163,0.766,32.2,62.5,73.9,0.603,0.755
2025-05-26,D006,0.615,0.64,0.474,0.622,153,0.719,28.9,66.6,73.9,0.645,0.816
2025-06-02,D006,0.669,0.627,0.481,0.553,184,0.677,37.6,72.2,69.1,0.621,0.79
2025-06-09,D006,0.65,0.671,0.45,0.602,190,0.651,29.2,65.0,74.2,0.613,0.779
2025-06-16,D006,0.606,0.604,0.407,0.632,173,0.736,34.5,71.7,75.8,0.651,0.787
2025-06-23,D006,0.542,0.688,0.363,0.606,173,0.669,31.7,76.2,73.0,0.66,0.8
2025-06-30,D006,0.669,0.669,0.52,0.646,221,0.642,32.6,68.5,72.9,0.638,0.841
2025-07-07,D006,0.654,0.578,0.424,0.562,145,0.675,32.8,63.2,63.1,0.727,0.799
2025-07-14,D006,0.66,0.624,0.454,0.577,193,0.714,31.8,62.6,80.0,0.638,0.827
2025-07-21,D006,0.65,0.637,0.418,0.61,193,0.64,33.2,67.3,68.4,0.635,0.856
2025-07-28,D006,0.62,0.613,0.509,0.648,193,0.773,32.5,72.0,70.4,0.636,0.833
2025-08-04,D006,0.645,0.701,0.438,0.657,220,0.723,27.4,68.5,73.6,0.554,0.97
2025-08-11,D006,0.654,0.631,0.508,0.608,168,0.708,29.9,71.5,78.0,0.597,0.76
2025-08-18,D006,0.646,0.606,0.49,0.541,174,0.722,34.1,68.2,77.1,0.586,0.794
2025-08-25,D006,0.707,0.587,0.439,0.641,185,0.676,27.6,64.9,69.4,0.604,0.814
2025-09-01,D006,0.611,0.71,0.467,0.586,166,0.712,30.7,63.2,77.0,0.675,0.829
2025-03-10,D007,0.561,0.556,0.309,0.481,150,0.682,35.3,73.4,78.9,0.546,0.723
2025-03-17,D007,0.639,0.488,0.348,0.49,126,0.617,30.5,70.0,76.5,0.557,0.652
2025-03-24,D007,0.543,0.504,0.309,0.43,137,0.573,35.8,76.8,77.9,0.562,0.696
2025-03-31,D007,0.564,0.513,0.265,0.478,125,0.589,37.5,79.4,79.8,0.582,0.673
2025-04-07,D007,0.544,0.482,0.386,0.475,110,0.601,35.0,71.4,76.8,0.504,0.662
2025-04-14,D007,0.594,0.546,0.391,0.531,164,0.622,34.5,72.7,82.6,0.607,0.73
2025-04-21,D007,0.509,0.537,0.32,0.454,144,0.612,33.7,64.1,68.9,0.564,0.7
2025-04-28,D007,0.531,0.489,0.249,0.459,142,0.602,30.5,76.3,81.7,0.522,0.63
2025-05-05,D007,0.485,0.566,0.286,0.476,153,0.675,31.1,77.7,73.0,0.568,0.777
2025-05-12,D007,0.574,0.542,0.44,0.454,157,0.649,34.7,68.7,79.3,0.592,0.675
2025-05-19,D007,0.498,0.427,0.351,0.519,160,0.657,26.2,78.3,89.0,0.583,0.712
2025-05-26,D007,0.558,0.456,0.352,0.381,139,0.642,35.2,71.7,76.7,0.507,0.679
2025-06-02,D007,0.598,0.559,0.321,0.505,129,0.624,26.8,72.4,77.7,0.544,0.761
2025-06-09,D007,0.519,0.553,0.353,0.475,160,0.627,28.0,73.2,81.2,0.525,0.75
2025-06-16,D007,0.54,0.519,0.341,0.497,130,0.664,28.9,75.5,76.2,0.565,0.718
2025-06-23,D007,0.549,0.41,0.377,0.446,134,0.555,34.2,74.6,83.1,0.581,0.767
2025-06-30,D007,0.593,0.448,0.334,0.434,155,0.602,40.9,71.6,83.6,0.596,0.701
2025-07-07,D007,0.521,0.493,0.348,0.416,124,0.569,31.8,77.0,76.7,0.55,0.735
2025-07-14,D007,0.552,0.474,0.397,0.448,134,0.55,30.7,78.6,71.6,0.523,0.699
2025-07-21,D007,0.574,0.479,0.404,0.369,146,0.714,32.0,70.1,80.3,0.555,0.697
2025-07-28,D007,0.553,0.428,0.396,0.506,138,0.595,33.5,74.7,76.7,0.537,0.799
2025-08-04,D007,0.495,0.483,0.301,0.432,129,0.645,31.0,64.9,74.6,0.519,0.758
2025-08-11,D007,0.57,0.536,0.326,0.51,142,0.566,27.8,68.8,77.7,0.508,0.628
2025-08-18,D007,0.58,0.455,0.389,0.462,142,0.53,31.0,72.5,81.2,0.542,0.747
2025-08-25,D007,0.558,0.468,0.343,0.492,150,0.613,30.7,63.5,79.2,0.543,0.57
2025-09-01,D007,0.494,0.469,0.327,0.436,143,0.681,28.4,76.8,77.5,0.503,0.74
2025-03-10,D008,0.511,0.49,0.345,0.36,142,0.575,33.6,75.9,80.9,0.548,0.723
2025-03-17,D008,0.522,0.598,0.375,0.454,137,0.681,30.8,77.7,74.2,0.553,0.754
2025-03-24,D008,0.574,0.507,0.371,0.462,157,0.625,33.8,78.2,79.4,0.527,0.744
2025-03-31,D008,0.536,0.451,0.346,0.432,166,0.626,30.5,71.6,78.6,0.569,0.681
2025-04-07,D008,0.571,0.469,0.301,0.479,133,0.584,30.4,70.4,77.6,0.535,0.695
2025-04-14,D008,0.495,0.564,0.36,0.346,149,0.61,27.1,71.0,73.7,0.584,0.684
2025-04-21,D008,0.558,0.529,0.331,0.426,107,0.564,34.8,68.1,80.4,0.576,0.749
2025-04-28,D008,0.529,0.552,0.397,0.521,136,0.554,34.1,66.3,77.7,0.547,0.734
2025-05-05,D008,0.575,0.464,0.3,0.435,134,0.551,34.1,73.9,73.6,0.521,0.728
2025-05-12,D008,0.553,0.561,0.387,0.516,153,0.653,38.3,66.5,71.9,0.573,0.721
2025-05-19,D008,0.58,0.482,0.377,0.407,134,0.557,37.5,71.2,75.7,0.482,0.716
2025-05-26,D008,0.503,0.549,0.339,0.388,123,0.554,33.7,69.6,83.0,0.583,0.734
2025-06-02,D008,0.512,0.604,0.396,0.437,152,0.667,32.7,74.1,85.2,0.572,0.761
2025-06-09,D008,0.486,0.465,0.328,0.387,120,0.568,36.5,74.8,75.3,0.556,0.717
2025-06-16,D008,0.61,0.509,0.37,0.415,138,0.639,38.6,69.7,72.4,0.518,0.708
2025-06-23,D008,0.578,0.508,0.335,0.436,156,0.581,24.0,65.9,76.3,0.575,0.7
2025-06-30,D008,0.587,0.507,0.346,0.446,148,0.684,34.9,65.1,83.0,0.555,0.818
2025-07-07,D008,0.565,0.433,0.326,0.519,117,0.631,34.2,71.8,72.8,0.541,0.728
2025-07-14,D008,0.562,0.467,0.276,0.429,159,0.587,28.7,70.7,81.5,0.561,0.595
2025-07-21,D008,0.542,0.465,0.396,0.431,129,0.568,32.2,75.9,77.1,0.559,0.644
2025-07-28,D008,0.531,0.441,0.291,0.472,144,0.553,31.7,73.9,85.3,0.526,0.688
2025-08-04,D008,0.54,0.532,0.44,0.565,148,0.663,34.7,72.6,75.7,0.521,0.656
2025-08-11,D008,0.605,0.515,0.319,0.424,142,0.574,38.4,66.1,80.1,0.589,0.785
2025-08-18,D008,0.52,0.494,0.309,0.363,151,0.615,34.9,77.5,73.6,0.521,0.759
2025-08-25,D008,0.563,0.456,0.36,0.485,176,0.596,36.4,68.1,75.1,0.588,0.747
2025-09-01,D008,0.622,0.558,0.35,0.488,126,0.728,33.8,63.1,66.7,0.571,0.721
2025-03-10,D009,0.446,0.363,0.289,0.304,88,0.465,34.5,74.2,83.7,0.464,0.617
2025-03-17,D009,0.526,0.351,0.255,0.37,79,0.493,38.8,76.8,89.3,0.503,0.607
2025-03-24,D009,0.42,0.36,0.288,0.343,93,0.456,34.8,86.1,96.2,0.425,0.6
2025-03-31,D009,0.369,0.325,0.226,0.284,85,0.413,46.0,76.3,86.0,0.51,0.603
2025-04-07,D009,0.466,0.35,0.253,0.327,79,0.411,35.5,81.4,89.8,0.474,0.637
2025-04-14,D009,0.484,0.363,0.219,0.272,98,0.469,45.6,79.1,91.9,0.447,0.64
2025-04-21,D009,0.506,0.266,0.239,0.307,92,0.453,33.9,77.6,83.3,0.465,0.62
2025-04-28,D009,0.472,0.414,0.312,0.182,94,0.472,36.0,77.1,84.6,0.476,0.653
2025-05-05,D009,0.495,0.292,0.204,0.308,95,0.437,35.8,71.5,86.2,0.468,0.618
2025-05-12,D009,0.4,0.381,0.284,0.322,100,0.43,39.4,80.1,91.8,0.496,0.506
2025-05-19,D009,0.385,0.266,0.324,0.317,95,0.386,36.1,76.4,88.9,0.55,0.53
2025-05-26,D009,0.426,0.421,0.185,0.293,100,0.413,37.5,73.3,82.7,0.497,0.524
2025-06-02,D009,0.399,0.333,0.251,0.336,108,0.418,34.6,79.9,78.7,0.509,0.533
2025-06-09,D009,0.412,0.478,0.263,0.37,110,0.43,43.6,84.3,82.4,0.499,0.654
2025-06-16,D009,0.386,0.393,0.236,0.282,82,0.443,42.7,71.4,80.1,0.464,0.613
2025-06-23,D009,0.472,0.449,0.242,0.354,84,0.445,37.0,75.4,88.4,0.504,0.489
2025-06-30,D009,0.413,0.313,0.256,0.354,74,0.391,39.2,74.5,89.1,0.442,0.62
2025-07-07,D009,0.439,0.428,0.238,0.198,97,0.451,37.5,78.0,87.0,0.474,0.616
2025-07-14,D009,0.415,0.291,0.225,0.395,70,0.458,34.6,79.6,85.2,0.451,0.6
2025-07-21,D009,0.432,0.301,0.328,0.32,66,0.552,40.2,74.7,81.0,0.519,0.577
2025-07-28,D009,0.464,0.295,0.294,0.338,84,0.431,38.3,87.4,82.7,0.52,0.559
2025-08-04,D009,0.428,0.346,0.253,0.319,94,0.464,42.4,79.8,87.0,0.473,0.641
2025-08-11,D009,0.468,0.347,0.27,0.345,72,0.478,35.6,76.1,81.4,0.48,0.585
2025-08-18,D009,0.386,0.296,0.227,0.321,105,0.45,35.7,78.9,83.0,0.493,0.575
2025-08-25,D009,0.462,0.283,0.285,0.299,108,0.496,36.8,81.7,83.1,0.508,0.544
2025-09-01,D009,0.472,0.222,0.262,0.313,76,0.425,34.1,76.0,84.4,0.514,0.584
2025-03-10,D010,0.564,0.475,0.301,0.409,147,0.588,41.4,77.2,89.4,0.597,0.794
2025-03-17,D010,0.594,0.44,0.3,0.437,144,0.624,33.6,69.1,76.9,0.562,0.714
2025-03-24,D010,0.517,0.475,0.393,0.395,121,0.589,32.0,73.9,76.1,0.546,0.726
2025-03-31,D010,0.546,0.435,0.319,0.44,142,0.607,29.0,70.1,77.5,0.561,0.74
2025-04-07,D010,0.496,0.494,0.42,0.423,154,0.661,32.2,71.3,68.9,0.59,0.711
2025-04-14,D010,0.589,0.466,0.308,0.48,147,0.585,28.8,66.5,82.1,0.55,0.663
2025-04-21,D010,0.579,0.601,0.324,0.481,115,0.652,35.7,77.2,76.6,0.597,0.733
2025-04-28,D010,0.62,0.576,0.322,0.407,164,0.544,29.6,79.0,79.6,0.573,0.751
2025-05-05,D010,0.515,0.508,0.327,0.431,146,0.611,34.0,74.5,84.7,0.557,0.742
2025-05-12,D010,0.577,0.493,0.363,0.516,163,0.565,31.5,67.8,73.4,0.545,0.656
2025-05-19,D010,0.537,0.443,0.349,0.399,141,0.629,35.7,67.2,81.3,0.579,0.785
2025-05-26,D010,0.556,0.544,0.422,0.437,157,0.579,41.6,73.0,74.1,0.534,0.774
2025-06-02,D010,0.554,0.543,0.373,0.382,142,0.615,29.8,65.1,82.8,0.553,0.719
2025-06-09,D010,0.575,0.423,0.4,0.402,124,0.589,27.4,73.9,75.5,0.59,0.68
2025-06-16,D010,0.53,0.41,0.287,0.492,132,0.626,33.2,64.0,69.8,0.555,0.758
2025-06-23,D010,0.55,0.519,0.345,0.478,153,0.584,32.2,72.4,72.3,0.543,0.68
2025-06-30,D010,0.554,0.529,0.331,0.539,160,0.71,34.9,74.7,74.9,0.489,0.644
2025-07-07,D010,0.487,0.51,0.429,0.428,156,0.62,36.9,75.1,80.0,0.593,0.694
2025-07-14,D010,0.583,0.562,0.33,0.413,148,0.603,35.5,77.6,67.6,0.536,0.702
2025-07-21,D010,0.556,0.587,0.331,0.448,141,0.578,31.2,74.1,83.2,0.547,0.65
2025-07-28,D010,0.511,0.463,0.362,0.494,127,0.672,27.3,71.8,75.3,0.581,0.699
2025-08-04,D010,0.551,0.451,0.391,0.512,143,0.577,31.7,72.9,74.6,0.596,0.614
2025-08-11,D010,0.549,0.465,0.348,0.451,109,0.648,34.6,74.1,82.0,0.608,0.704
2025-08-18,D010,0.61,0.513,0.377,0.469,143,0.621,36.1,65.8,79.8,0.584,0.764
2025-08-25,D010,0.559,0.571,0.343,0.436,136,0.554,33.4,72.4,85.3,0.553,0.618
2025-09-01,D010,0.573,0.496,0.374,0.354,120,0.621,32.9,71.2,77.9,0.595,0.756
2025-03-10,D011,0.386,0.352,0.26,0.293,93,0.498,34.2,77.0,83.8,0.454,0.64
2025-03-17,D011,0.437,0.305,0.349,0.294,82,0.453,42.1,79.9,85.9,0.54,0.57
2025-03-24,D011,0.463,0.372,0.228,0.228,76,0.524,34.2,74.4,78.2,0.477,0.702
2025-03-31,D011,0.491,0.372,0.212,0.314,86,0.476,37.9,78.4,88.6,0.468,0.632
2025-04-07,D011,0.456,0.376,0.232,0.298,78,0.384,36.7,78.8,85.9,0.474,0.485
